Area,Age,Sex,Year,Value,Flags
Hibiscus and Bays Local Board Area,75-79 years,Male,2013,1332,
Waimakariri District,10-14 years,Male,2013,1902,
Whakatane District,60-64 years,Male,2013,1068,
Lower Hutt City,50-54 years,Female,2013,3687,
South Wairarapa District,0-4 years,Male,2013,288,
Hawke's Bay Region,50-54 years,Male,2013,5385,
Queenstown-Lakes District,25-29 years,Female,2013,1953,
Buller District,85-89 years,Female,2013,63,
Hauraki District,45-49 years,Male,2013,591,
Western Bay of Plenty District,15-19 years,Female,2013,1293,
Waipa District,45-49 years,Female,2013,1872,
Kapiti Coast District,0-4 years,Male,2013,1467,
Wairoa District,10-14 years,Female,2013,309,
Marlborough District,45-49 years,Male,2013,1503,
Invercargill City,75-79 years,Female,2013,891,
Bay of Plenty Region,55-59 years,Female,2013,9471,
Whau Local Board Area,0-4 years,Female,2013,2676,
Upper Hutt City,85-89 years,Male,2013,189,
Hamilton City,40-44 years,Male,2013,4431,
Kawerau District,40-44 years,Male,2013,165,
Waitaki District,15-19 years,Female,2013,558,
Hamilton City,0-4 years,Female,2013,5364,
West Coast Region,65-69 years,Female,2013,1137,
Marlborough Region,15-19 years,Male,2013,1311,
Waitomo District,65-69 years,Male,2013,237,
Christchurch City,95-99 years,Female,2013,327,
Napier City,25-29 years,Male,2013,1338,
Central Otago District,55-59 years,Female,2013,792,
Kawerau District,30-34 years,Male,2013,111,
Devonport-Takapuna Local Board Area,70-74 years,Female,2013,1062,
Tararua District,45-49 years,Male,2013,549,
Gisborne District,25-29 years,Male,2013,1089,
Northland Region,70-74 years,Female,2013,3747,
Hurunui District,20-24 years,Male,2013,267,
Clutha District,25-29 years,Male,2013,450,
Otago Region,50-54 years,Male,2013,7530,
Masterton District,50-54 years,Male,2013,807,
Matamata-Piako District,70-74 years,Male,2013,669,
Carterton District,70-74 years,Male,2013,207,
Waikato Region,15-19 years,Male,2013,15048,
Southland District,25-29 years,Female,2013,1104,
Rotorua District,30-34 years,Female,2013,1983,
Napier City,35-39 years,Male,2013,1560,
Gore District,0-4 years,Female,2013,387,
Nelson City,70-74 years,Female,2013,1050,
Orakei Local Board Area,15-19 years,Male,2013,2454,
Hurunui District,100 years and over,Male,2013,0,
Waikato District,0-4 years,Male,2013,2463,
Great Barrier Local Board Area,50-54 years,Male,2013,42,
Orakei Local Board Area,45-49 years,Female,2013,3327,
Upper Harbour Local Board Area,55-59 years,Male,2013,1560,
Timaru District,10-14 years,Female,2013,1461,
Horowhenua District,95-99 years,Male,2013,18,
Wairoa District,25-29 years,Male,2013,150,
Waiheke Local Board Area,0-4 years,Female,2013,279,
Gisborne District,55-59 years,Female,2013,1461,
Maungakiekie-Tamaki Local Board Area,10-14 years,Female,2013,2004,
Waitemata Local Board Area,10-14 years,Male,2013,1167,
Otara-Papatoetoe Local Board Area,50-54 years,Male,2013,2058,
South Waikato District,40-44 years,Male,2013,696,
Wairoa District,90-94 years,Female,2013,18,
Ashburton District,35-39 years,Female,2013,1014,
Taranaki Region,35-39 years,Male,2013,3204,
Auckland,20-24 years,Male,2013,55218,
Waikato District,15-19 years,Male,2013,2226,
South Taranaki District,95-99 years,Male,2013,3,
Lower Hutt City,55-59 years,Male,2013,2892,
Waipa District,30-34 years,Male,2013,1107,
Waikato Region,85-89 years,Male,2013,1791,
Southland Region,20-24 years,Female,2013,2892,
Tauranga City,40-44 years,Male,2013,3729,
Otara-Papatoetoe Local Board Area,65-69 years,Female,2013,1227,
Opotiki District,75-79 years,Female,2013,132,
Orakei Local Board Area,40-44 years,Female,2013,3456,
Hauraki District,15-19 years,Female,2013,552,
Buller District,45-49 years,Male,2013,459,
Clutha District,80-84 years,Male,2013,177,
Thames-Coromandel District,90-94 years,Female,2013,147,
Wellington City,45-49 years,Female,2013,7482,
Wairoa District,10-14 years,Male,2013,303,
Waikato District,95-99 years,Male,2013,12,
South Waikato District,25-29 years,Female,2013,582,
Central Hawke's Bay District,50-54 years,Male,2013,516,
Western Bay of Plenty District,60-64 years,Male,2013,1500,
Chatham Islands Territory,25-29 years,Female,2013,15,
Wellington Region,85-89 years,Female,2013,3060,
Invercargill City,90-94 years,Male,2013,90,
Hawke's Bay Region,25-29 years,Female,2013,4113,
South Wairarapa District,60-64 years,Female,2013,381,
Papakura Local Board Area,10-14 years,Female,2013,1641,
Taupo District,85-89 years,Male,2013,147,
Western Bay of Plenty District,55-59 years,Male,2013,1668,
Southland Region,45-49 years,Male,2013,3336,
Ruapehu District,75-79 years,Male,2013,165,
Northland Region,50-54 years,Male,2013,5523,
Kawerau District,85-89 years,Male,2013,30,
Waikato District,20-24 years,Male,2013,1827,
Whangarei District,35-39 years,Female,2013,2331,
Puketapapa Local Board Area,20-24 years,Female,2013,2448,
Kaikoura District,40-44 years,Female,2013,138,
Wellington City,40-44 years,Male,2013,7128,
Manurewa Local Board Area,0-4 years,Female,2013,3927,
Palmerston North City,90-94 years,Male,2013,123,
New Plymouth District,65-69 years,Male,2013,1842,
Waipa District,100 years and over,Male,2013,0,
Kaikoura District,45-49 years,Female,2013,171,
Wanganui District,90-94 years,Male,2013,75,
Waitomo District,50-54 years,Female,2013,342,
Napier City,80-84 years,Male,2013,666,
Upper Hutt City,15-19 years,Male,2013,1533,
Taupo District,15-19 years,Female,2013,990,
Taupo District,40-44 years,Male,2013,1233,
Hamilton City,55-59 years,Female,2013,4005,
Northland Region,10-14 years,Male,2013,5700,
Wellington City,45-49 years,Male,2013,6897,
Waikato Region,15-19 years,Female,2013,14220,
Whakatane District,20-24 years,Male,2013,819,
Dunedin City,65-69 years,Male,2013,3057,
Henderson-Massey Local Board Area,85-89 years,Female,2013,498,
Hamilton City,95-99 years,Male,2013,39,
Hibiscus and Bays Local Board Area,60-64 years,Female,2013,2826,
Christchurch City,100 years and over,Female,2013,45,
Far North District,90-94 years,Male,2013,69,
Mackenzie District,65-69 years,Female,2013,213,
Rotorua District,55-59 years,Male,2013,2097,
Tasman Region,100 years and over,Female,2013,0,
Stratford District,65-69 years,Female,2013,219,
Masterton District,90-94 years,Male,2013,33,
Kaipatiki Local Board Area,15-19 years,Female,2013,2679,
Hurunui District,95-99 years,Female,2013,9,
Gore District,10-14 years,Female,2013,426,
Rotorua District,20-24 years,Female,2013,2178,
Tauranga City,40-44 years,Female,2013,4338,
Carterton District,40-44 years,Female,2013,306,
Franklin Local Board Area,65-69 years,Female,2013,1614,
Lower Hutt City,30-34 years,Female,2013,3351,
Ruapehu District,5-9 years,Female,2013,462,
Grey District,85-89 years,Male,2013,66,
Rotorua District,60-64 years,Male,2013,1902,
Kaikoura District,70-74 years,Female,2013,93,
Papakura Local Board Area,80-84 years,Male,2013,312,
Nelson City,80-84 years,Male,2013,489,
Kaipatiki Local Board Area,5-9 years,Female,2013,2535,
Canterbury Region,20-24 years,Female,2013,18249,
South Wairarapa District,20-24 years,Female,2013,192,
Otago Region,30-34 years,Male,2013,6423,
Gore District,80-84 years,Female,2013,207,
Marlborough District,20-24 years,Female,2013,1125,
Area Outside Region,55-59 years,Female,2013,18,
Wairoa District,80-84 years,Male,2013,78,
Waimate District,50-54 years,Female,2013,312,
Dunedin City,0-4 years,Female,2013,3096,
Kaipatiki Local Board Area,70-74 years,Male,2013,1131,
Manawatu District,50-54 years,Female,2013,1068,
Wellington City,30-34 years,Male,2013,7851,
Manawatu-Wanganui Region,50-54 years,Male,2013,7761,
Papakura Local Board Area,35-39 years,Male,2013,1353,
Ruapehu District,70-74 years,Male,2013,234,
Franklin Local Board Area,5-9 years,Male,2013,2655,
"Total, Territorial Authority areas",15-19 years,Male,2013,154299,
Canterbury Region,40-44 years,Female,2013,20913,
Northland Region,15-19 years,Male,2013,4953,
Wanganui District,40-44 years,Male,2013,1254,
Mackenzie District,60-64 years,Female,2013,261,
Gisborne District,20-24 years,Male,2013,1239,
Franklin Local Board Area,60-64 years,Male,2013,1905,
Mangere-Otahuhu Local Board Area,40-44 years,Female,2013,2526,
Far North District,45-49 years,Male,2013,1881,
Tauranga City,35-39 years,Male,2013,3324,
Whangarei District,40-44 years,Female,2013,2865,
South Wairarapa District,65-69 years,Female,2013,357,
Manurewa Local Board Area,90-94 years,Female,2013,144,
Henderson-Massey Local Board Area,90-94 years,Female,2013,237,
Waitaki District,35-39 years,Female,2013,606,
Hawke's Bay Region,45-49 years,Male,2013,5139,
Tasman District,55-59 years,Male,2013,1905,
Kawerau District,80-84 years,Male,2013,78,
Orakei Local Board Area,35-39 years,Male,2013,2430,
Hastings District,95-99 years,Male,2013,18,
Franklin Local Board Area,75-79 years,Female,2013,741,
Otara-Papatoetoe Local Board Area,55-59 years,Female,2013,1842,
Mackenzie District,70-74 years,Female,2013,132,
Whau Local Board Area,85-89 years,Female,2013,444,
West Coast Region,0-4 years,Male,2013,1092,
Whau Local Board Area,5-9 years,Female,2013,2190,
Central Hawke's Bay District,55-59 years,Male,2013,483,
South Waikato District,20-24 years,Male,2013,609,
"Total, Territorial Authority areas",85-89 years,Female,2013,30165,
Wanganui District,85-89 years,Male,2013,294,
Wairoa District,15-19 years,Female,2013,234,
Waitemata Local Board Area,95-99 years,Female,2013,21,
Clutha District,60-64 years,Female,2013,519,
Auckland,25-29 years,Female,2013,53235,
Invercargill City,95-99 years,Female,2013,63,
Horowhenua District,45-49 years,Male,2013,948,
Puketapapa Local Board Area,25-29 years,Female,2013,2238,
Marlborough District,50-54 years,Male,2013,1671,
Tauranga City,50-54 years,Female,2013,4176,
Mangere-Otahuhu Local Board Area,85-89 years,Female,2013,171,
Matamata-Piako District,10-14 years,Female,2013,1266,
Grey District,5-9 years,Male,2013,480,
Orakei Local Board Area,50-54 years,Female,2013,3141,
Waimakariri District,15-19 years,Male,2013,1731,
Albert-Eden Local Board Area,55-59 years,Female,2013,2502,
Manawatu District,45-49 years,Male,2013,981,
Upper Hutt City,80-84 years,Male,2013,369,
Waitomo District,70-74 years,Male,2013,171,
Gisborne Region,65-69 years,Female,2013,1059,
Upper Hutt City,10-14 years,Male,2013,1557,
West Coast Region,60-64 years,Female,2013,1269,
Papakura Local Board Area,15-19 years,Female,2013,1686,
Waitomo District,5-9 years,Female,2013,345,
Napier City,30-34 years,Male,2013,1386,
Tararua District,20-24 years,Male,2013,402,
Kawerau District,35-39 years,Male,2013,135,
Whakatane District,0-4 years,Female,2013,1209,
Manawatu District,70-74 years,Male,2013,561,
Waikato Region,90-94 years,Male,2013,510,
Devonport-Takapuna Local Board Area,65-69 years,Female,2013,1440,
Ashburton District,30-34 years,Female,2013,954,
Southland District,20-24 years,Female,2013,846,
Waikato Region,10-14 years,Male,2013,14862,
Masterton District,45-49 years,Male,2013,753,
South Waikato District,55-59 years,Male,2013,675,
Western Bay of Plenty District,25-29 years,Female,2013,834,
Nelson Region,75-79 years,Female,2013,795,
Central Otago District,50-54 years,Female,2013,756,
Kaipatiki Local Board Area,0-4 years,Male,2013,3165,
Rangitikei District,100 years and over,Male,2013,0,
Nelson City,85-89 years,Female,2013,501,
Mangere-Otahuhu Local Board Area,70-74 years,Male,2013,792,
Mackenzie District,20-24 years,Male,2013,195,
Palmerston North City,100 years and over,Female,2013,9,
Kawerau District,50-54 years,Female,2013,210,
Palmerston North City,30-34 years,Female,2013,2706,
Horowhenua District,15-19 years,Female,2013,912,
Maungakiekie-Tamaki Local Board Area,5-9 years,Male,2013,2415,
South Taranaki District,90-94 years,Male,2013,33,
Tasman District,70-74 years,Female,2013,1167,
Auckland,90-94 years,Male,2013,1653,
Carterton District,35-39 years,Male,2013,216,
Mackenzie District,100 years and over,Male,2013,0,
New Plymouth District,70-74 years,Male,2013,1368,
Manawatu-Wanganui Region,20-24 years,Female,2013,7863,
Canterbury Region,50-54 years,Male,2013,19956,
Rangitikei District,30-34 years,Male,2013,336,
Chatham Islands Territory,100 years and over,Female,2013,0,
Queenstown-Lakes District,15-19 years,Male,2013,825,
Hurunui District,80-84 years,Male,2013,111,
Waitemata Local Board Area,15-19 years,Female,2013,3327,
Hamilton City,10-14 years,Male,2013,4872,
Hamilton City,90-94 years,Male,2013,165,
Whangarei District,70-74 years,Male,2013,1662,
Area outside territorial authority,10-14 years,Female,2013,0,
Wanganui District,55-59 years,Female,2013,1518,
Napier City,75-79 years,Male,2013,936,
Hurunui District,10-14 years,Male,2013,411,
Matamata-Piako District,0-4 years,Female,2013,1098,
Tararua District,30-34 years,Male,2013,402,
Waitaki District,25-29 years,Female,2013,501,
Auckland Region,85-89 years,Male,2013,4875,
Hawke's Bay Region,55-59 years,Male,2013,4737,
Area outside territorial authority,0-4 years,Female,2013,0,
Kapiti Coast District,50-54 years,Male,2013,1719,
Mangere-Otahuhu Local Board Area,5-9 years,Female,2013,3222,
Nelson Region,30-34 years,Female,2013,1356,
Waitaki District,65-69 years,Male,2013,774,
Nelson City,40-44 years,Female,2013,1818,
Waitemata Local Board Area,55-59 years,Male,2013,2118,
Tauranga City,80-84 years,Male,2013,1506,
Clutha District,95-99 years,Female,2013,12,
Clutha District,15-19 years,Female,2013,483,
Maungakiekie-Tamaki Local Board Area,75-79 years,Male,2013,603,
New Plymouth District,85-89 years,Female,2013,738,
Timaru District,55-59 years,Female,2013,1584,
Otara-Papatoetoe Local Board Area,95-99 years,Male,2013,3,
Central Otago District,35-39 years,Male,2013,540,
Waikato District,85-89 years,Female,2013,303,
Whangarei District,5-9 years,Female,2013,2775,
Selwyn District,45-49 years,Male,2013,1899,
Waiheke Local Board Area,45-49 years,Female,2013,390,
Queenstown-Lakes District,85-89 years,Male,2013,75,
Orakei Local Board Area,25-29 years,Male,2013,2253,
Western Bay of Plenty District,0-4 years,Female,2013,1236,
Mangere-Otahuhu Local Board Area,15-19 years,Female,2013,3156,
Kapiti Coast District,40-44 years,Female,2013,1917,
Auckland Region,75-79 years,Male,2013,13116,
Waitaki District,0-4 years,Female,2013,597,
Albert-Eden Local Board Area,20-24 years,Female,2013,4311,
Rangitikei District,20-24 years,Male,2013,417,
Otorohanga District,90-94 years,Female,2013,18,
Tararua District,100 years and over,Male,2013,0,
Nelson Region,100 years and over,Female,2013,6,
Whangarei District,75-79 years,Female,2013,1302,
Matamata-Piako District,65-69 years,Male,2013,744,
Rodney Local Board Area,50-54 years,Female,2013,2328,
Hurunui District,35-39 years,Male,2013,369,
Puketapapa Local Board Area,90-94 years,Male,2013,90,
Matamata-Piako District,100 years and over,Female,2013,3,
Waikato District,50-54 years,Male,2013,2436,
Central Otago District,80-84 years,Male,2013,237,
Tasman Region,5-9 years,Female,2013,1674,
Invercargill City,55-59 years,Male,2013,1665,
Hamilton City,25-29 years,Female,2013,5754,
Auckland Region,40-44 years,Male,2013,50394,
Southland District,15-19 years,Male,2013,969,
Christchurch City,30-34 years,Male,2013,11085,
Gore District,20-24 years,Male,2013,330,
Rodney Local Board Area,35-39 years,Male,2013,1452,
Kaikoura District,65-69 years,Male,2013,201,
Southland District,95-99 years,Male,2013,6,
New Plymouth District,40-44 years,Female,2013,2742,
Gore District,75-79 years,Male,2013,204,
Gisborne Region,45-49 years,Female,2013,1521,
Westland District,0-4 years,Female,2013,273,
Rotorua District,65-69 years,Female,2013,1731,
Kaipara District,10-14 years,Female,2013,708,
Taranaki Region,70-74 years,Male,2013,1992,
Hurunui District,90-94 years,Male,2013,18,
Palmerston North City,60-64 years,Male,2013,1896,
Queenstown-Lakes District,40-44 years,Male,2013,1470,
Hastings District,30-34 years,Female,2013,1917,
Hauraki District,10-14 years,Male,2013,615,
Howick Local Board Area,55-59 years,Male,2013,3726,
Timaru District,85-89 years,Male,2013,285,
Great Barrier Local Board Area,15-19 years,Male,2013,21,
Timaru District,45-49 years,Female,2013,1683,
Auckland Region,55-59 years,Female,2013,42366,
Western Bay of Plenty District,35-39 years,Female,2013,1212,
Hurunui District,50-54 years,Female,2013,492,
Queenstown-Lakes District,95-99 years,Male,2013,3,
Waitemata Local Board Area,45-49 years,Male,2013,2646,
Hawke's Bay Region,20-24 years,Male,2013,4416,
Manurewa Local Board Area,55-59 years,Male,2013,1902,
Otara-Papatoetoe Local Board Area,85-89 years,Male,2013,177,
Waitomo District,40-44 years,Female,2013,297,
Maungakiekie-Tamaki Local Board Area,85-89 years,Male,2013,222,
South Taranaki District,25-29 years,Female,2013,813,
Invercargill City,45-49 years,Male,2013,1710,
Wellington City,90-94 years,Female,2013,387,
Wanganui District,20-24 years,Female,2013,1125,
Kaikoura District,0-4 years,Female,2013,114,
Chatham Islands Territory,10-14 years,Female,2013,9,
Carterton District,50-54 years,Female,2013,333,
Tasman Region,70-74 years,Male,2013,1176,
Hauraki District,80-84 years,Male,2013,225,
Otara-Papatoetoe Local Board Area,15-19 years,Male,2013,3261,
Hauraki District,0-4 years,Male,2013,561,
